school_id,StudentRegCode,SemesterID,SemesterName,YearID,Year,DivisionID,DivisionName,BranchID,BranchName,Specialization,DeptID,DeptName,CourseLevelPID,CourseLevel,IsCurrentSemester
COEP,111409007,11,Semester I,10,2014,4295,Div-6,6,Instrumentation and Control Engineering ,,5,,30,UG,0
COEP,111413060,25,Semester I,10,2014,4294,Div-5,9,Production Engineering (Sandwich),,2,,30,UG,0
COEP,111405004,27,Semester I,10,2014,4295,Div-6,1,Electrical Engineering,,7,,30,UG,0
COEP,111411009,15,Semester I,10,2014,4290,Div-1,8,Metallurgical Engineering,,3,,30,UG,0
COEP,111401013,3,Semester I,10,2014,4290,Div-1,2,Civil Engineering,,9,,30,UG,0
COEP,111401015,3,Semester I,10,2014,4290,Div-1,2,Civil Engineering,,9,,30,UG,0
COEP,111401012,3,Semester I,10,2014,4290,Div-1,2,Civil Engineering,,9,,30,UG,0
COEP,111410015,13,Semester I,10,2014,4290,Div-1,7,Mechanical Engineering,,4,,30,UG,0
COEP,111413010,25,Semester I,10,2014,4290,Div-1,9,Production Engineering (Sandwich),,2,,30,UG,0
COEP,111401003,3,Semester I,10,2014,4290,Div-1,2,Civil Engineering,,9,,30,UG,0
COEP,111410014,13,Semester I,10,2014,4290,Div-1,7,Mechanical Engineering,,4,,30,UG,0
COEP,111410020,13,Semester I,10,2014,4290,Div-1,7,Mechanical Engineering,,4,,30,UG,0
COEP,111409003,11,Semester I,10,2014,4295,Div-6,6,Instrumentation and Control Engineering ,,5,,30,UG,0
COEP,111409004,11,Semester I,10,2014,4295,Div-6,6,Instrumentation and Control Engineering ,,5,,30,UG,0
COEP,111403004,5,Semester I,10,2014,4295,Div-6,3,Computer Engineering,,8,,30,UG,0
COEP,111401058,3,Semester I,10,2014,4294,Div-5,2,Civil Engineering,,9,,30,UG,0
COEP,111410044,13,Semester I,10,2014,4291,Div-2,7,Mechanical Engineering,,4,,30,UG,0
COEP,111411016,15,Semester I,10,2014,4290,Div-1,8,Metallurgical Engineering,,3,,30,UG,0
COEP,111413063,25,Semester I,10,2014,4294,Div-5,9,Production Engineering (Sandwich),,2,,30,UG,0
COEP,111411011,15,Semester I,10,2014,4290,Div-1,8,Metallurgical Engineering,,3,,30,UG,0
COEP,111401061,3,Semester I,10,2014,4294,Div-5,2,Civil Engineering,,9,,30,UG,0
COEP,111401014,3,Semester I,10,2014,4290,Div-1,2,Civil Engineering,,9,,30,UG,0
COEP,111413062,25,Semester I,10,2014,4294,Div-5,9,Production Engineering (Sandwich),,2,,30,UG,0
COEP,111410121,13,Semester I,10,2014,4294,Div-5,7,Mechanical Engineering,,4,,30,UG,0
COEP,111401065,3,Semester I,10,2014,4294,Div-5,2,Civil Engineering,,9,,30,UG,0
COEP,111401017,3,Semester I,10,2014,4290,Div-1,2,Civil Engineering,,9,,30,UG,0
COEP,111411008,15,Semester I,10,2014,4290,Div-1,8,Metallurgical Engineering,,3,,30,UG,0
COEP,111411021,15,Semester I,10,2014,4291,Div-2,8,Metallurgical Engineering,,3,,30,UG,0
COEP,111401063,3,Semester I,10,2014,4294,Div-5,2,Civil Engineering,,9,,30,UG,0
COEP,111410009,13,Semester I,10,2014,4290,Div-1,7,Mechanical Engineering,,4,,30,UG,0
COEP,111410115,13,Semester I,10,2014,4294,Div-5,7,Mechanical Engineering,,4,,30,UG,0
COEP,111410117,13,Semester I,10,2014,4294,Div-5,7,Mechanical Engineering,,4,,30,UG,0
COEP,111410018,13,Semester I,10,2014,4290,Div-1,7,Mechanical Engineering,,4,,30,UG,0
COEP,111410114,13,Semester I,10,2014,4294,Div-5,7,Mechanical Engineering,,4,,30,UG,0
COEP,111410123,13,Semester I,10,2014,4294,Div-5,7,Mechanical Engineering,,4,,30,UG,0
COEP,111409011,11,Semester I,10,2014,4296,Div-7,6,Instrumentation and Control Engineering ,,5,,30,UG,0
COEP,111413059,25,Semester I,10,2014,4294,Div-5,9,Production Engineering (Sandwich),,2,,30,UG,0
COEP,111410124,13,Semester I,10,2014,4294,Div-5,7,Mechanical Engineering,,4,,30,UG,0
