SchoolID, StudentID, SemesterID, SemesterName, YearID, AcdemicYear, ExtDivisionID, Division, BranchID, Branch, Specialization, DepartmentID, Department, CourseLevelID, CourseLevel, IsCurrentSemester
SESH,829,3013,BBA III - YEAR 3,2016,2016-17,101,Div 1,301,BBA,MANAGEMENT,374,Department of Bachelor  of Business Administration,373,UG,1
SESH,630,3013,BBA III - YEAR 3,2016,2016-17,101,Div 1,301,BBA,MANAGEMENT,374,Department of Bachelor  of Business Administration,373,UG,1
SESH,800,1013,MCA II - SEM 1,2016,2016-17,101,Div 1,101,MCA,COMPUTER APPLICATION,372,Department of Master of Computer Application,372,PG,1
SESH,823,1013,MCA II - SEM 1,2016,2016-17,101,Div 1,101,MCA,COMPUTER APPLICATION,372,Department of Master of Computer Application,372,PG,1
SESH,828,1013,MCA II - SEM 1,2016,2016-17,101,Div 1,101,MCA,COMPUTER APPLICATION,372,Department of Master of Computer Application,372,PG,1
SESH,841,1013,MCA II - SEM 1,2016,2016-17,101,Div 1,101,MCA,COMPUTER APPLICATION,372,Department of Master of Computer Application,372,PG,1
SESH,821,1013,MCA II - SEM 1,2016,2016-17,101,Div 1,101,MCA,COMPUTER APPLICATION,372,Department of Master of Computer Application,372,PG,1
SESH,842,1013,MCA II - SEM 1,2016,2016-17,101,Div 1,101,MCA,COMPUTER APPLICATION,372,Department of Master of Computer Application,372,PG,1
SESH,826,1013,MCA II - SEM 1,2016,2016-17,101,Div 1,101,MCA,COMPUTER APPLICATION,372,Department of Master of Computer Application,372,PG,1
SESH,803,1013,MCA II - SEM 1,2016,2016-17,101,Div 1,101,MCA,COMPUTER APPLICATION,372,Department of Master of Computer Application,372,PG,1
SESH,822,1013,MCA II - SEM 1,2016,2016-17,101,Div 1,101,MCA,COMPUTER APPLICATION,372,Department of Master of Computer Application,372,PG,1
SESH,802,1013,MCA II - SEM 1,2016,2016-17,101,Div 1,101,MCA,COMPUTER APPLICATION,372,Department of Master of Computer Application,372,PG,1
SESH,809,1013,MCA II - SEM 1,2016,2016-17,101,Div 1,101,MCA,COMPUTER APPLICATION,372,Department of Master of Computer Application,372,PG,1
SESH,808,1013,MCA II - SEM 1,2016,2016-17,101,Div 1,101,MCA,COMPUTER APPLICATION,372,Department of Master of Computer Application,372,PG,1
SESH,805,1013,MCA II - SEM 1,2016,2016-17,101,Div 1,101,MCA,COMPUTER APPLICATION,372,Department of Master of Computer Application,372,PG,1
SESH,843,1013,MCA II - SEM 1,2016,2016-17,101,Div 1,101,MCA,COMPUTER APPLICATION,372,Department of Master of Computer Application,372,PG,1
SESH,799,1013,MCA II - SEM 1,2016,2016-17,101,Div 1,101,MCA,COMPUTER APPLICATION,372,Department of Master of Computer Application,372,PG,1
SESH,810,1013,MCA II - SEM 1,2016,2016-17,101,Div 1,101,MCA,COMPUTER APPLICATION,372,Department of Master of Computer Application,372,PG,1
SESH,820,1013,MCA II - SEM 1,2016,2016-17,101,Div 1,101,MCA,COMPUTER APPLICATION,372,Department of Master of Computer Application,372,PG,1
SESH,801,1013,MCA II - SEM 1,2016,2016-17,101,Div 1,101,MCA,COMPUTER APPLICATION,372,Department of Master of Computer Application,372,PG,1
SESH,804,1013,MCA II - SEM 1,2016,2016-17,101,Div 1,101,MCA,COMPUTER APPLICATION,372,Department of Master of Computer Application,372,PG,1
SESH,824,1013,MCA II - SEM 1,2016,2016-17,101,Div 1,101,MCA,COMPUTER APPLICATION,372,Department of Master of Computer Application,372,PG,1
SESH,831,1013,MCA II - SEM 1,2016,2016-17,101,Div 1,101,MCA,COMPUTER APPLICATION,372,Department of Master of Computer Application,372,PG,1
