SchoolID, TeacherID, SubjectID, SubjectCode, SubjectName, YearID, DivisionID, Division, SemesterID, Semester, BranchID, Branch,DepartmentID, Department, CourseLevel, AcademicYear
COEP,410325003,446,MA-12004,Engineering Mathematics-III,11,4291,Div-2,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,410906024,517,ME-12001,Engineering Thermodynamics,11,4291,Div-2,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,411325047,448,MA-12005,Foundation of Mathematics-I,11,4291,Div-2,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,410319001,514,AS-12001,Foundation of Physics ,11,4291,Div-2,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,410306013,523,ME-12002,Machine Drawing and Computer Graphics ,11,4291,Div-2,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,410306013,530,ME-12003,Machine Drawing and Computer Graphics Lab,11,4291,Div-2,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,4105008001,532,PE-12001,Manufacturing Engineering-I ,11,4291,Div-2,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,4196001008,449,CE-15002,Strength of Materials,11,4291,Div-2,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,411401091,536,CE-12001,Strength of Materials Lab,11,4291,Div-2,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,4105008001,537,PE-12002,Manufacturing Engineering - I Lab,11,4291,Div-2,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,4199006011,528,ME-15001,Engineering Thermodynamics Lab,11,4291,Div-2,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,410901022,548,CE-15005,Strength of materials laboratory,11,4290,Div-1,65,Semester III,2,Civil Engineering,9,,UG,2015
COEP,410902014,535,CT-12005,Data Structure Laboratory,11,4290,Div-1,67,Semester III,3,Computer Engineering,8,,UG,2015
COEP,411502070,534,CT-12004,Digital System Laboratory ,11,4290,Div-1,67,Semester III,3,Computer Engineering,8,,UG,2015
COEP,411502070,489,CT-12001,Digital Systems,11,4290,Div-1,67,Semester III,3,Computer Engineering,8,,UG,2015
COEP,419902022,533,CT-12003,Discrete Structures and Graph Theory,11,4290,Div-1,67,Semester III,3,Computer Engineering,8,,UG,2015
COEP,410902014,490,CT-12002,Data Structures ,11,4290,Div-1,67,Semester III,3,Computer Engineering,8,,UG,2015
COEP,410902014,535,CT-12005,Data Structure Laboratory,11,4290,Div-1,68,Semester III,5,Information Technology ,8,,UG,2015
COEP,410902014,490,CT-12002,Data Structures ,11,4290,Div-1,68,Semester III,5,Information Technology ,8,,UG,2015
COEP,419817002,541,AS(ILE)-11001,Advanced Engineering Materials,11,4290,Div-1,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,419817002,541,AS(ILE)-11001,Advanced Engineering Materials,11,4291,Div-2,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,417917024,540,AS(ILE)-12001,Analytical  Instrumentation and Laboratory Management,11,4290,Div-1,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,419817002,541,AS(ILE)-11001,Advanced Engineering Materials,11,4290,Div-1,74,Semester III,8,Metallurgical Engineering,3,,UG,2015
COEP,417917024,540,AS(ILE)-12001,Analytical  Instrumentation and Laboratory Management,11,4290,Div-1,74,Semester III,8,Metallurgical Engineering,3,,UG,2015
COEP,411317066,437,HS-15001,Professional Communication ,11,4290,Div-1,72,Semester III,6,Instrumentation and Control Engineering ,5,,UG,2015
COEP,419817002,541,AS(ILE)-11001,Advanced Engineering Materials,11,4290,Div-1,65,Semester III,2,Civil Engineering,9,,UG,2015
COEP,417917024,540,AS(ILE)-12001,Analytical  Instrumentation and Laboratory Management,11,4290,Div-1,65,Semester III,2,Civil Engineering,9,,UG,2015
COEP,411317066,437,HS-15001,Professional Communication ,11,4290,Div-1,68,Semester III,5,Information Technology ,8,,UG,2015
COEP,411317066,437,HS-15001,Professional Communication ,11,4290,Div-1,69,Semester III,1,Electrical Engineering,7,,UG,2015
COEP,411005013,539,ICE(ILE)-12001,Engineering Instrumentation,11,4290,Div-1,74,Semester III,8,Metallurgical Engineering,3,,UG,2015
COEP,411304047,538,ETC(ILE)-12001,Principles of Electronics Communication,11,4290,Div-1,74,Semester III,8,Metallurgical Engineering,3,,UG,2015
COEP,4195005001,539,ICE(ILE)-12001,Engineering Instrumentation,11,4290,Div-1,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,411304047,538,ETC(ILE)-12001,Principles of Electronics Communication,11,4290,Div-1,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,411125017,465,BP-12001,Mathematics and Statistics III for planners,11,4290,Div-1,75,Semester III,11,Planning,21,,UG,2015
COEP,411201080,468,BP-12003,Techniques of planning - II,11,4290,Div-1,75,Semester III,11,Planning,21,,UG,2015
COEP,411201081,467,HS-12001,Settlement  Geography and Urbanization,11,4290,Div-1,75,Semester III,11,Planning,21,,UG,2015
COEP,411304047,538,ETC(ILE)-12001,Principles of Electronics Communication,11,4290,Div-1,65,Semester III,2,Civil Engineering,9,,UG,2015
COEP,4195005001,539,ICE(ILE)-12001,Engineering Instrumentation,11,4290,Div-1,65,Semester III,2,Civil Engineering,9,,UG,2015
COEP,411304047,538,ETC(ILE)-12001,Principles of Electronics Communication,11,4291,Div-2,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,4195005001,539,ICE(ILE)-12001,Engineering Instrumentation,11,4291,Div-2,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,419817002,540,AS(ILE)-12001,Analytical  Instrumentation and Laboratory Management,11,4291,Div-2,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,419803009,542,EE(ILE)-12001,Electrical Technology,11,4290,Div-1,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,419803009,542,EE(ILE)-12001,Electrical Technology,11,4291,Div-2,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,419803009,542,EE(ILE)-12001,Electrical Technology,11,4290,Div-1,65,Semester III,2,Civil Engineering,9,,UG,2015
COEP,419803009,542,EE(ILE)-12001,Electrical Technology,11,4290,Div-1,74,Semester III,8,Metallurgical Engineering,3,,UG,2015
COEP,417917024,540,AS(ILE)-12001,Analytical  Instrumentation and Laboratory Management,11,4291,Div-2,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,419817002,428,CH-15001,Applied Chemistry,11,4299,Div-10,11,Semester I,6,Instrumentation and Control Engineering ,5,,UG,2015
COEP,419817002,431,CH-15002,Applied Chemistry Laboratory  ,11,4299,Div-10,11,Semester I,6,Instrumentation and Control Engineering ,5,,UG,2015
COEP,411402063,439,EF-15004,Computer Programming,11,4299,Div-10,11,Semester I,6,Instrumentation and Control Engineering ,5,,UG,2015
COEP,411402063,285,CT-11002,Computer Programming LAB,11,4299,Div-10,11,Semester I,6,Instrumentation and Control Engineering ,5,,UG,2015
COEP,411425052,423,MA-15001,"Linear Algebra, Sequences and Series",11,4299,Div-10,11,Semester I,6,Instrumentation and Control Engineering ,5,,UG,2015
COEP,410319002,424,PH-15001,Optics and Modern Physics,11,4299,Div-10,11,Semester I,6,Instrumentation and Control Engineering ,5,,UG,2015
COEP,411019009,425,PH-15002,Optics and Modern Physics Laboratory,11,4299,Div-10,11,Semester I,6,Instrumentation and Control Engineering ,5,,UG,2015
COEP,410906027,438,EF-15002,Foundation of Mechanical Engineering,11,4299,Div-10,11,Semester I,6,Instrumentation and Control Engineering ,5,,UG,2015
COEP,419817002,428,CH-15001,Applied Chemistry,11,4299,Div-10,7,Semester I,4,Electronics and Telecommunication Engineering ,6,,UG,2015
COEP,419817002,431,CH-15002,Applied Chemistry Laboratory  ,11,4299,Div-10,7,Semester I,4,Electronics and Telecommunication Engineering ,6,,UG,2015
COEP,411402063,439,EF-15004,Computer Programming,11,4299,Div-10,7,Semester I,4,Electronics and Telecommunication Engineering ,6,,UG,2015
COEP,411402063,285,CT-11002,Computer Programming LAB,11,4299,Div-10,7,Semester I,4,Electronics and Telecommunication Engineering ,6,,UG,2015
COEP,410906027,438,EF-15002,Foundation of Mechanical Engineering,11,4299,Div-10,7,Semester I,4,Electronics and Telecommunication Engineering ,6,,UG,2015
COEP,411425052,423,MA-15001,"Linear Algebra, Sequences and Series",11,4299,Div-10,7,Semester I,4,Electronics and Telecommunication Engineering ,6,,UG,2015
COEP,410319002,424,PH-15001,Optics and Modern Physics,11,4299,Div-10,7,Semester I,4,Electronics and Telecommunication Engineering ,6,,UG,2015
COEP,419817002,428,CH-15001,Applied Chemistry,11,4299,Div-10,5,Semester I,3,Computer Engineering,8,,UG,2015
COEP,419817002,431,CH-15002,Applied Chemistry Laboratory  ,11,4299,Div-10,5,Semester I,3,Computer Engineering,8,,UG,2015
COEP,411402063,439,EF-15004,Computer Programming,11,4299,Div-10,5,Semester I,3,Computer Engineering,8,,UG,2015
COEP,411402063,285,CT-11002,Computer Programming LAB,11,4299,Div-10,5,Semester I,3,Computer Engineering,8,,UG,2015
COEP,411104025,440,ETC-15001,Electronics and Computer Workshop,11,4299,Div-10,5,Semester I,3,Computer Engineering,8,,UG,2015
