SchoolID, SubjectID, SubjectCode, Subject, SubjectType, SubjectShortName, SubjectCredit
COEP,356,PME(DE)-11005,Terotechnology and Maintenance Management,Theory,TMM,3
COEP,400,MA(ILE)-11001,Advanced Mathematics,Theory,Adv. Maths,3
COEP,401,IPI-11001,Transducer Design,Theory,TD,3
COEP,402,IPI-11002,Instrument Design Engineering,Theory,IDE,3
COEP,403,IPI-11003,Modern Control Theory,Theory,MCT,3
COEP,404,IPI(DE)-11001,Process System Engineering,Theory,PSE,3
COEP,405,IPI(DE)-11002,Industrial Automation,Theory,IA,3
COEP,406,IPI-11004,PG_Lab1,Laboratory,PG_Lab,3
COEP,407,IPI-11005,Seminar,Seminar,Seminar,1
COEP,408,LL-11001,Liberal Learning Course,Theory,LLC,1
COEP,409,IBI(DE)-11001,Anatomy and Physiology,Theory,AAP,3
COEP,410,IBI(DE)-11002,Physiological Modeling,Theory,PM,3
COEP,411,PH-11004,Engineering Physics-II,Theory,PH,3
COEP,412,CE-11002,Engineering Mechanics Laboratory,Laboratory,CELab,1
COEP,412,CE-11002,Engineering Mechanics Laboratory,Laboratory,CELab,1
COEP,413,EE-11003,Basic Electrical Engineering,Theory,BEE,4
COEP,414,BP-11001,Fundamentals Of Urban and Regional Planning ,Theory,FURP,3
COEP,414,BP-11001,Fundamentals Of Urban and Regional Planning ,Theory,FURP,3
COEP,415,BP-11002,Surveying and Photogrammetry ,Theory,S&P,2
COEP,416,BP-13001,Surveying and Photogrammetry Lab,Laboratory,S&PL,1
COEP,417,BP-13002,"Specifications, Estimation and Valuation ",Theory,SEV,3
COEP,418,BP-13003,Mathematics and Statistics II for planners  ,Theory,M&SII,3
COEP,419,BP-13004,"Evolution of Aesthetic, Culture and Technology",Theory,EACT,2
COEP,419,BP-13004,"Evolution of Aesthetic, Culture and Technology",Theory,EACT,3
COEP,420,BP-13005,Techniques of Planning -I ,Theory,TP-I,3
COEP,421,BP-13006,Applied Geology and Hydrology ,Theory,AGH,2
COEP,422,BP-13007,Planning and Design Lab-II ,Laboratory,PDL-II,5
COEP,423,MA-15001,Linear Algebra,Theory,LASS,3
COEP,424,PH-15001,Optics and Modern Physics,Theory,OMP,3
COEP,425,PH-15002,Optics and Modern Physics Laboratory,Laboratory,OMPL,1
COEP,426,MA-15002,Univariate Calculus,Theory,Cal,3
